condition,unit,stage,passed,denominator,rate
phi4_4bit_budget_cself_full,effective_plan_opportunity,request_returned,19200,19200,1.0
phi4_4bit_budget_cself_full,effective_plan_opportunity,non_empty_answer,19200,19200,1.0
phi4_4bit_budget_cself_full,effective_plan_opportunity,json_parse_valid,19200,19200,1.0
phi4_4bit_budget_cself_full,effective_plan_opportunity,plan_schema_valid,4642,19200,0.24177083333333332
phi4_4bit_budget_cself_full,effective_plan_opportunity,operation_names_valid,4642,19200,0.24177083333333332
phi4_4bit_budget_cself_full,effective_plan_opportunity,argument_types_valid,4642,19200,0.24177083333333332
phi4_4bit_budget_cself_full,effective_plan_opportunity,executable,9,19200,0.00046875
phi4_4bit_budget_cself_full,effective_plan_opportunity,representation_constructed,9,19200,0.00046875
phi4_4bit_budget_cself_full,executable_self_proposed_candidate,J1,0,1,0.0
phi4_4bit_budget_cself_full,executable_self_proposed_candidate,J2,0,1,0.0
phi4_4bit_budget_cself_full,executable_self_proposed_candidate,J3,0,1,0.0
phi4_4bit_budget_cself_full,executable_self_proposed_candidate,J4,0,1,0.0
phi4_4bit_budget_cself_full,executable_self_proposed_candidate,J5,0,1,0.0
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,request_returned,4800,4800,1.0
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,non_empty_answer,4800,4800,1.0
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,json_parse_valid,4800,4800,1.0
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,plan_schema_valid,1289,4800,0.2685416666666667
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,operation_names_valid,1289,4800,0.2685416666666667
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,argument_types_valid,1289,4800,0.2685416666666667
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,executable,0,4800,0.0
phi4_4bit_budget_cself_heldout,effective_plan_opportunity,representation_constructed,0,4800,0.0
phi4_4bit_budget_cself_heldout,executable_self_proposed_candidate,J1,0,0,0.0
phi4_4bit_budget_cself_heldout,executable_self_proposed_candidate,J2,0,0,0.0
phi4_4bit_budget_cself_heldout,executable_self_proposed_candidate,J3,0,0,0.0
phi4_4bit_budget_cself_heldout,executable_self_proposed_candidate,J4,0,0,0.0
phi4_4bit_budget_cself_heldout,executable_self_proposed_candidate,J5,0,0,0.0
